sex,year,age,pop,pcnt
Female,2090,85-89,127838,0.011826022281447822
Female,2090,90-94,75400,0.006975094103640277
Female,2090,95-99,34160,0.0031600691588906083
Female,2090,100+,11158,0.0010322029178835308
Female,2095,0-4,309658,0.028535018746557617
Female,2095,5-9,314011,0.028936148175165197
Female,2095,10-14,318134,0.029316083078484524
Female,2095,15-19,321584,0.029634000957808243
Female,2095,20-24,323931,0.02985027726585832
Female,2095,25-29,325826,0.030024901724211493
Female,2095,30-34,327359,0.030166167842763162
Female,2095,35-39,328028,0.03022781626631898
Female,2095,40-44,327912,0.030217126853564907
Female,2095,45-49,325888,0.030030615031028326
Female,2095,50-54,321372,0.029614465134499075
Female,2095,55-59,313529,0.028891731822169822
Female,2095,60-64,302892,0.027911531102643335
Female,2095,65-69,288012,0.02654033746660365
Female,2095,70-74,268083,0.024703877925431945
Female,2095,75-79,239546,0.022074190237820084
Female,2095,80-84,195336,0.01800023387697905
Female,2095,85-89,137450,0.012666032612476811
Female,2095,90-94,79098,0.007288889396738384
Female,2095,95-99,35673,0.003287270872207241
Female,2095,100+,12001,0.0011058934694967932
Female,2100,0-4,304536,0.02800228552555042
Female,2100,5-9,309027,0.028415235929756318
Female,2100,10-14,313614,0.028837013597111574
Female,2100,15-19,317704,0.029213091787537337
Female,2100,20-24,321065,0.02952213794842267
Female,2100,25-29,323415,0.029738221994266324
Female,2100,30-34,325123,0.02989527371779865
Female,2100,35-39,326229,0.029996971145331876
Female,2100,40-44,326331,0.030006350112428068
Female,2100,45-49,325583,0.029937571020389322
Female,2100,50-54,322627,0.029665764875915344
Female,2100,55-59,316701,0.02912086527775811
Female,2100,60-64,306623,0.028194186548391148
Female,2100,65-69,292105,0.026859246898366385
Female,2100,70-74,271104,0.024928191133786554
Female,2100,75-79,242263,0.022276242212009162
Female,2100,80-84,201885,0.01856345855112613
Female,2100,85-89,146603,0.013480242286305292
Female,2100,90-94,86166,0.0079230203804955
Female,2100,95-99,38010,0.0034950445031988716
Female,2100,100+,12878,0.0011841405712232325
Male,1950,0-4,172420,0.0679774060481046
Male,1950,5-9,138298,0.05452464506229422
Male,1950,10-14,133685,0.05270594784561457
Male,1950,15-19,122155,0.04816019044082019
Male,1950,20-24,113207,0.04463239883127118
Male,1950,25-29,97626,0.03848951538598921
Male,1950,30-34,84569,0.033341730959761964
Male,1950,35-39,81447,0.032110867593086505
Male,1950,40-44,73163,0.02884486114544413
Male,1950,45-49,63548,0.025054101609702766
Male,1950,50-54,52644,0.02075514768586254
Male,1950,55-59,42560,0.01677948266678652
Male,1950,60-64,34381,0.013554872969144439
Male,1950,65-69,25077,0.009886726664356334
Male,1950,70-74,16577,0.006535561188141921
Male,1950,75-79,9344,0.003683916495264409
Male,1950,80-84,3876,0.0015281314571537724
Male,1950,85-89,1296,5.10954171432221e-4
Male,1950,90-94,317,1.2497875952470223e-4
Male,1950,95-99,58,2.2866776190639524e-5
Male,1950,100+,9,3.548292857168202e-6
Male,1955,0-4,207941,0.07498711694782192
Male,1955,5-9,161088,0.05809111572460813
Male,1955,10-14,134817,0.04861733927197863
Male,1955,15-19,130543,0.04707606103519516
Male,1955,20-24,118354,0.04268049706042828
Male,1955,25-29,109514,0.03949264034232677
Male,1955,30-34,94211,0.03397411417070829
Male,1955,35-39,81154,0.0292655344005441
Male,1955,40-44,77551,0.027966230355824673
Male,1955,45-49,68433,0.024678122035049835
Male,1955,50-54,58722,0.02117616766972362
Male,1955,55-59,46808,0.01687977344580265
Male,1955,60-64,36007,0.012984746249850795
Male,1955,65-69,26899,0.009700244101833991
Male,1955,70-74,17544,0.0063266694866937635
Male,1955,75-79,9943,0.0035856175733125907
Male,1955,80-84,4467,0.0016108773710135113
Male,1955,85-89,1314,4.7385110040558626e-4
Male,1955,90-94,297,1.0710333091359142e-4
Male,1955,95-99,48,1.730962923856023e-5
Male,1955,100+,6,2.1637036548200287e-6
Male,1960,0-4,221606,0.07301795876837591
Male,1960,5-9,196203,0.06464780991593937
Male,1960,10-14,158035,0.052071663736362225
Male,1960,15-19,131917,0.04346592631448537
Male,1960,20-24,126961,0.04183295155903619
Male,1960,25-29,115443,0.0380378338767796
Male,1960,30-34,106321,0.035032185023025075
Male,1960,35-39,90924,0.029958958164741978
Male,1960,40-44,77485,0.02553088154277234
Male,1960,45-49,73199,0.02411866810414135
Male,1960,50-54,63488,0.02091894698828845
Male,1960,55-59,52411,0.017269136381728608
Male,1960,60-64,39688,0.013076977823701989
Male,1960,65-69,28289,0.009321069987268333
Male,1960,70-74,18949,0.006243591331922219
Male,1960,75-79,10560,0.0034794619486568485
Male,1960,80-84,4791,0.0015786081625014168
Male,1960,85-89,1558,5.133524352279706e-4
Male,1960,90-94,309,1.0181380133853846e-4
Male,1960,95-99,46,1.515674712483097e-5
Male,1960,100+,5,1.6474725135685836e-6
Male,1965,0-4,244985,0.0733579611586237
Male,1965,5-9,210104,0.06291324395890145
